기관명,기관구분,주소,홈페이지
강북삼성병원,상급종합병원,서울특별시 종로구 새문안로 29 (평동),https://www.kbsmc.co.kr/
강서구보건소,보건소,서울특별시 강서구 공항대로 561 강서보건소,
강서그룹홈,정신재활시설,서울특별시 강서구 초록마을로16길 20,www.wmind.org
강서양지,정신재활시설,"서울특별시 강서구 등촌로35 가길 26, 301호",https://blog.naver.com/gsyj1
강서필병원,병원,서울특별시 강서구 강서로17길 24,http://www.feelhp.com/
강신경정신과의원,의원,서울특별시 관악구 신림로 340 르네상스 복합쇼핑몰 13층 1304호,http://kskclinic.kr/
강신삼신경정신과의원,의원,서울 동대문구 홍릉로 5,
강원대학교병원,국립,강원도 춘천시 백령로 156,
강원대학교병원,종합병원,강원도 춘천시 백령로 156 (효자동),
강원대학교병원,광역정신건강복지센터,강원도 춘천시 춘천로 306-5,www.gwmh.or.kr
강원대학교병원,기초정신건강복지센터,강원도 춘천시 효제길 35,www.chmhc.org
강원도 삼척의료원,공립,강원도 삼척시 오십천로 418,
강원도 속초의료원,공립,강원도 속초시 영랑호반길 3,
강원도 영월의료원,종합병원,강원도 영월군 영월읍 중앙1로 59 ,
강원도 원주의료원,공립,강원도 원주시 서원대로 387 (개운동),
강원도 원주의료원,종합병원,강원도 원주시 서원대로 387 (개운동),
강원도속초의료원,종합병원,강원도 속초시 영랑호반길 3 (영랑동),
강원도자살예방센터,자살예방센터,강원도 춘천시 춘천로 306-5 유칭프라자 3층,www.gwmh.or.kr
강원도청 보건정책과,보건소,강원도 춘천시 중앙로 1 (봉의동) 강원도청 보건정책과,
강정신건강의학과의원,의원,대구광역시 중구 달구벌대로 2094 8층 (남산동),
강정신건강의학과의원,의원,"부산광역시 해운대구 양운로 82 801호 (좌동, 화인크리닉)",
강정신건강의학과의원,의원,부산광역시 부산진구 동평로 422 6층 (양정동),
강지윤정신건강의학과의원,의원,"경기도 수원시 영통구 봉영로 1612 419호호 (영통동, 보보스프라자)",
강진군 정신건강복지센터,기초정신건강복지센터,전라남도 강진군 강진읍 목리길11,
강진군보건소,보건소,전라남도 강진군 강진읍 목리길 11 ,
강혜영정신건강의학과의원,의원,"경기도 용인시 기흥구 동백중앙로 265 (중동, 더엠빌딩 304호 일부)",
강화군보건소,보건소,인천광역시 강화군 강화읍 충렬사로 26-1 ,
강화정신요양원,정신요양시설,인천광역시 강화군 선원면 고식이길 20번길 19-3,www.kanghwa.or.kr
같은마음정신건강의학과의원,의원,서울특별시 강북구 도봉로 324 글로리타워 (번동),
개운정신건강의학과의원,의원,"서울특별시 서초구 동작대로 114 5층 (방배동, 유문빌딩)",
개정정신건강의학과의원,의원,전라북도 군산시 번영로 312 (사정동),
거제시 정신건강복지센터,기초정신건강복지센터,경상남도 거제시 수양로 506,www.geoje.go.kr
거제시보건소,보건소,경상남도 거제시 수양로 506,
거제정신건강의학과의원,의원,경상남도 거제시 고현로 88 202호 (고현동),
거창군 정신건강복지센터,기초정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,www.geochang.go.kr/health
거창군보건소,보건소,경상남도 거창군 거창읍 거함대로 3079 ,
건국대학교 충주병원,기초정신건강복지센터,충청북도 충주시 국원대로78 2층 ,www.mhc.cj100.net
건국대학교 충주병원,종합병원,충청북도 충주시 국원대로 82 (교현동),
건국대학교병원,상급종합병원,서울특별시 광진구 능동로 120-1 (화양동),https://www.kuh.ac.kr/main.do
건대하늘정신건강의학과의원,의원,서울특별시 광진구 아차산로 213 웅진빌딩 4층 (화양동),
건양대학교병원,기초정신건강복지센터,대전광역시 서구 만년로 74 서구보건소 6층,www.emind.or.kr
검단탑병원,종합병원,인천광역시 서구 청마로19번길 5- (당하동),
경기다사모,정신재활시설,경기도 수원시 팔달구 매산로89,www.kgdasamo.com
경기도 기초정신건강복지센터,기초정신건강복지센터,경기도 광주시 파발로 194번지,www.gjcity.go.kr
경기도립정신병원,공립,경기도 용인시 기흥구 중부대로 940,
경기도의료원 수원병원,종합병원,경기도 수원시 장안구 수성로245번길 69 (정자동),
경기도의료원 의정부병원,공립,경기도 의정부시 흥선로 142,
경기도의료원 의정부병원,기초정신건강복지센터,경기도 의정부시 범골로 131 의정부시보건소 3층,www.umind.or.kr
경기도의료원 의정부병원,중독관리통합지원센터,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층",www.uamc.co.kr
경기도의료원의정부병원,종합병원,경기도 의정부시 흥선로 142 (의정부동),
경기도자살예방센터,자살예방센터,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층,www.mindsave.org
경기도청 건강증진과,보건소,경기도 수원시 팔달구 효원로 1 (매산로3가) ,
경기정신과의원,의원,경기도 수원시 장안구 팔달로 211 (영화동),
경남도청 보건행정과,보건소,경상남도 창원시 의창구 중앙대로 300 (사림동) ,
경농의료재단 양산병원,기초정신건강복지센터,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터",www.ys.yesbni.com
경대마음정신건강의학과의원,의원,대구광역시 남구 월배로 474 2층 (대명동),
경대연합정신건강의학과의원,의원,"대구광역시 남구 월배로 468 2층 (대명동, 한영유니죤빌딩)",
경대제이정신건강의학과의원,의원,"대구광역시 달서구 월배로 219 701호 (상인동, CENTRO TOWER)",
경북대학교 간호과학연구소,기초정신건강복지센터,경상북도 구미시 선산대로 111,www.gumimind.com
경북대학교 간호대학,기초정신건강복지센터,경상북도 영천시 조양공원길 21,www.영천시정신건강복지센터.kr
경북대학교병원,기초정신건강복지센터,"대구광역시 중구 태평로 45, 중구보건소 3층",www.중구정신건강복지센터.kr
경북대학교병원,국립,대구광역시 중구 동덕로 130,
경북대학교병원,상급종합병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",
경북도청 보건정책과,보건소,경상북도 안동시 풍천면 도청대로 455 ,
경산복지재단,기초정신건강복지센터,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,www.hsmind.or.kr
경산복지재단,중독관리통합지원센터,경기도 화성시 정남면 서봉로 998 정남면보건지소 내 1층,www.hsalcohol.kr
경산세명병원,기초정신건강복지센터,경상북도 경산시 남매로 158,www.gsmind.or.kr
경산시보건소,보건소,경상북도 경산시 남매로 158 ,
경산정신과의원,의원,경상북도 경산시 중앙로 69 (중방동),
경상남도마산의료원,종합병원,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),
경상대학교병원,국립,경상남도 진주시 강남로 79,
경상대학교병원,상급종합병원,경상남도 진주시 강남로 79 (칠암동),
경상대학교병원,중독관리통합지원센터,경상남도 진주시 진주대로 816번길 20 2층,www.jinjuacc.org
경상북도 안동의료원,공립,경상북도 안동시 태사2길 55,
경상북도 포항의료원,공립,경상북도 포항시 북구 용흥로 3,
경상북도김천의료원,종합병원,경상북도 김천시 모암길 24 (모암동),
경상북도안동의료원,종합병원,경상북도 안동시 태사2길 55 (북문동),
경상북도포항의료원,종합병원,경상북도 포항시 북구 용흥로 36 (용흥동),
경성대학교 산학협력단,기초정신건강복지센터,부산광역시 강서구 공항로 811번길 10 강서브라이트센터 내 보건소 3층,www.brightmaum.or.kr
경주시보건소,보건소,경상북도 경주시 양정로 300 ,
경주정신건강상담센터,정신재활시설,"경상북도 경주시 북성로 124, 2층",www.sunarang.com
경주정신건강의학과의원,의원,경상북도 경주시 봉황로51번길 27 5층 (성건동),
경찰병원,종합병원,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),
경찰병원,국립,서울특별시 송파구 송이로 123,
경희궁삼성정신건강의학과의원,의원,"서울특별시 종로구 송월길 99 2207호 (홍파동, 경희궁자이 2단지)",
경희대학교병원,상급종합병원,서울특별시 동대문구 경희대로 23 (회기동),
경희사회복귀시설,정신재활시설,"광주광역시 북구 연양로 105번길 14, 스카이빌 301, 303, 304호",cafe.daum.net/gkdisdus
경희의료원,기초정신건강복지센터,서울특별시 동대문구 홍릉로81 2층,ddmmind.net
계룡시 정신건강복지센터,기초정신건강복지센터,충청남도 계룡시 장안로 54(금암동 10-5),
계룡시보건소,보건소,충청남도 계룡시 장안로 54 ,
계명대학교동산병원,상급종합병원,대구광역시 달서구 달구벌대로 1035 (신당동),
계양구보건소,보건소,인천광역시 계양구 계산새로 88,
계요병원,기초정신건강복지센터,경기도 의왕시 오봉로34 의왕시보건소별관,www.uwcmh.com
고담의료재단 마더스병원,광역정신건강복지센터,"울산광역시 남구 화합로 105, 로하스빌딩 2층",www.usmind.or.kr
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 남구 화합로 105 (달동, 로하스빌딩 5층)",www.usaddiction.or.kr
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 중구 학성로 84-1, 3층",
고려대학교 산학협력단,기초정신건강복지센터,경기도 안산시 단원구 화랑로 387,www.ansanmind.or.kr
고려대학교 산학협력단,중독관리통합지원센터,"경기도 안산시 단원구 화랑로 387, 2층",www.ansanacc.or.kr
고려대학교의과대학부속구로병원,상급종합병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),
고려대학교의과대학부속안산병원,상급종합병원,경기도 안산시 단원구 적금로 123 (고잔동),
고려신경정신과의원,의원,대전광역시 중구 대종로 504 2층 (은행동),
고려정신건강의학과의원,의원,"경기도 광명시 철산로 12 3층 304호 (철산동, 로데오빌딩)",
고려제일정신과의원,의원,서울특별시 구로구 구로동로 240 세일빌딩 2층 (구로동),
고려힐링정신건강의학과의원,의원,경기도 화성시 봉담읍 동화길 85 307-308호,
고려힐링정신건강의학과의원,의원,"서울특별시 서대문구 신촌로35길 10 212호 (북아현동, e편한세상신촌 4단지)",
고령군 정신건강복지센터,기초정신건강복지센터,경상북도 고령군 대가야읍 왕릉로 56-8,https://www.goryeong.go.kr/health
고령군보건소,보건소,경상북도 고령군 대가야읍 왕릉로 56-5 ,
고석만정신건강의학과의원,의원,"강원도 원주시 능라동길 59 (무실동, 정한프라자 509호)",
고성군 정신건강복지센터,기초정신건강복지센터,경상남도 고성군 남포로79번길 103-3,
고성군보건소,보건소,강원도 고성군 간성읍 수성로 30 ,
고성군보건소,보건소,경상남도 고성군 고성읍 남포로79번길 103-3 ,
고성군정신건강복지센터,기초정신건강복지센터,강원 고성군 간성읍 수성로 30 보건소 2층,
고성성심병원,병원,경상남도 고성군 회화면 남해안대로 3963-21 (회화면),
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,www.gsmental.or.kr
고신경정신과의원,의원,제주특별자치도 제주시 서광로 203 (삼도일동),
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,www.yeongdomind.or.kr
고신대학교복음병원,상급종합병원,부산광역시 서구 감천로 262 (암남동),
고양시 덕양구보건소,보건소,경기도 고양시 덕양구 원당로 33번길 28,
고양시 일산동구보건소,보건소,"경기도 고양시 일산동구 중앙로 1228 1, 2층",
고양시 일산서구보건소,보건소,경기도 고양시 일산서구 일중로 54 ,
고양정신병원,공립,경기도 고양시 덕양구 통일로 1102번길 46,
고양정신병원,병원,경기도 고양시 덕양구 통일로1102번길 46 (내유동),
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",blog.naver.com/h_people2006
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,www.gounnuri.net
고운마음정신과의원,의원,"경기도 부천시 길주로 137 상록그린힐빌딩, 504호 일부 (상동)",
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,www.idcm.or.kr
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,www.icdacc.or.kr
고정선정신건강의학과의원,의원,"인천광역시 중구 참외전로 134 3,4층 (인현동)",
고정신건강의학과의원,의원,인천광역시 서구 가정로 363 그린빌딩 2층 201호 (신현동),
고정인정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 313 211~212호 (역삼동, 성아하이츠 1차)",http://mindinmind.co.kr/?module=Html&action=SiteComp&sSubNo=5
고창군보건소,보건소,전라북도 고창군 고창읍 전봉준로 90 ,
고천석정신건강의학과의원,의원,광주광역시 북구 필문대로 103 2층 (풍향동),
고효선정신건강의학과의원,의원,전라북도 익산시 선화로 65 2층 (모현동1가),
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,
고흥군보건소,보건소,전라남도 고흥군 고흥읍 등암3길 5 ,
곡성군보건의료원,보건소,전라남도 곡성군 곡성읍 곡성로 854 ,
공감과성장김현철정신건강의학과의원,의원,"대구광역시 수성구 동대구로 300 401동 4층 405호 (범어동, 범어 롯데캐슬)",
공감더하기정신건강의학과의원,의원,대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),
공감정신건강의학과의원,의원,"경상남도 진주시 순환로 527 7층 701호 (평거동, 좋은메디컬빌딩)",
공감정신건강의학과의원,의원,서울특별시 송파구 송파대로 404-1 3층 (송파동),
공감정신건강의학과의원,의원,부산광역시 중구 대청로 80 7층 (대청동3가),
공감정신건강의학과의원,의원,충청북도 청주시 청원구 율봉로 141 6층 (율량동),
공감정신건강의학과의원,의원,경상남도 김해시 능동로149번길 6 남일빌딩 301호 (부곡동),
공감정신과의원,의원,"인천광역시 부평구 부평대로 68 3,4층 (부평동, 동일빌딩)",
공감플러스,정신재활시설,서울특별시 강서구 화곡로61길 130 남영빌딩 3층,sotong2013.modoo.at/
공군교육사 기지병원,병원,경상남도 진주시 금산면 송백로 46 46,
공군항공우주의료원,국립,충청북도 청주시 상당구 남일면 쌍수관기길 6,
공군항공우주의료원,병원,충청북도 청주시 상당구 남일면 단재로 635-0 (),
공생하우스,정신재활시설,제주특별자치도 제주시 아봉로449-10 ,www.gongsaeng.or.kr
공정신건강의학과의원,의원,부산광역시 연제구 중앙대로 1033 9층 일부호 (연산동),
공주노인정신건강의학과의원,의원,충청남도 공주시 봉정돌고개길 37 (봉정동),
공주벧엘정신요양원,정신요양시설,충청남도 공주시 백제문화로 2015-20,www.btysw.or.kr
공주시보건소,보건소,충청남도 공주시 봉황로 123,
과천시보건소,보건소,경기도 과천시 관문로 69 ,
곽병원,종합병원,대구광역시 중구 국채보상로 531 (수동),
곽호순병원,병원,대구광역시 서구 통학로 31 (내당동),
관악구 정신건강복지센터,기초정신건강복지센터,"서울특별시 관악구 관악로 145, 3동 4층",www.gwanakmaum.or.kr/
관악구보건소,보건소,서울특별시 관악구 관악로 145,http://www.gwanak.go.kr/site/health/main.do
관악좋은집,정신재활시설,"서울특별시 관악구 법원단지32길 5, 201호(신림동)",caf?.naver.com/positivehouse
관저정신건강의학과의원,의원,대전광역시 서구 관저로 164 5층 (관저동),
광교연세 정신건강의학과 의원,의원,경기도 수원시 영통구 센트럴타운로 106 402호 (이의동),
광명성애병원,종합병원,"경기도 광명시 디지털로 36 (철산동, 광명성애병원)",
광명시보건소,보건소,경기도 광명시 오리로 613 ,
광명시자살예방센터,자살예방센터,경기도 광명시 오리로 613 광명시보건소 1층 11호,www.gspc.kr
광명정신건강의학과의원,의원,"경기도 광명시 오리로 957 5층 (광명동, 누가빌딩)",
광산구보건소,보건소,광주광역시 광산구 광산로 29번길 15 ,
광양시 정신건강복지센터,기초정신건강복지센터,전라남도 광양시 광양읍 인덕로 1100,www.gwangyang.go.kr
광양시보건소,보건소,전라남도 광양시 광양읍 인덕로 1100,
광장정신건강의학과의원,의원,대구광역시 서구 달구벌대로 1733 (내당동),
광주광역시 기초정신건강복지센터,기초정신건강복지센터,광주광역시 서구 운천로 172번길 32(상무금호보건지소 정신보건팀),www.haniemhc
광주광역자살예방센터,자살예방센터,"광주광역시 동구 제봉로 27, 5층",www.gmhc.kr
광주기독병원,종합병원,광주광역시 남구 양림로 37 (양림동),
광주미래병원,병원,광주광역시 북구 두리봉길 59 (각화동),
광주보훈병원,종합병원,광주광역시 광산구 첨단월봉로 99 (산월동),
광주새생명보건센터,정신재활시설,광주광역시 동구 중흥로 197,www.gjw.or.kr/newlife/
광주소망병원,병원,광주광역시 동구 천변좌로 700 (용산동),
광주시립정신병원,공립,광주광역시 광산구 삼도로 84-3,
광주시보건소,보건소,경기도 광주시 파발로 194 ,
광주시청 건강정책과,보건소,광주광역시 서구 내방로 111 (치평동) ,
광주정신건강의학과의원,의원,광주광역시 서구 상무대로 1071 (화정동),
광주정신재활센터,정신재활시설,광주광역시 북구 서하로 240-18 2층,www.gjpsy.org
광주제일병원,중독관리통합지원센터,광주광역시 남구 독립로 25-1,www.namguacc.or.kr
광주제일병원,병원,"광주광역시 남구 회재로 1299 (백운동, 광주제일병원)",
광주해피라이프,정신재활시설,광주광역시 서구 화운로 172,www.gjw.or.kr/kjhappylife
광진 오사랑의집,정신재활시설,"서울특별시 광진구 긴고랑로 36길 57-11, 301호",www.gj-silver.co.kr/
광진구보건소,보건소,서울특별시 광진구 자양로 117 ,
광진구정신건강복지센터,기초정신건강복지센터,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 4층,www.hopegj.or.kr
광화문숲정신건강의학과의원,의원,서울특별시 종로구 종로3길 30 3층 (청진동),
괴산군 정신건강복지센터,기초정신건강복지센터,충청북도 괴산군 괴산읍 읍내로2길 27-10,www.gsmhc.co.kr
괴산군보건소,보건소,충청북도 괴산군 괴산읍 동진천길 43 ,
구례군 정신건강복지센터,기초정신건강복지센터,전라남도 구례군 구례읍 동편제길30 ,www.gurye.go.kr/health
구례군보건의료원,보건소,전라남도 구례군 구례읍 동편제길 30 ,
구로구 정신건강복지센터,기초정신건강복지센터,서울특별시 구로구 새말로 60,www.grcmhc.or.kr
구로구공동희망학교,정신재활시설,"서울특별시 구로구 구로중앙로18길 50, 2층",gcmh2013.com
구로구보건소,보건소,서울특별시 구로구 구로중앙로 28길 66 ,
구리시보건소,보건소,경기도 구리시 건원대로 34번길 84,
구미시 구미보건소,보건소,경상북도 구미시 선산대로 111,
구미시 선산보건소,보건소,경상북도 구미시 선산읍 선주로 121,
구미시 정신건강복지센터,기초정신건강복지센터,경상북도 구미시 선산읍 선주로 121,https://www.gumi.go.kr/ssphc
구월성모정신건강의학과의원,의원,"인천광역시 남동구 호구포로 818 퍼스트하임프라자 213,214호 (구월동)",
구의연세정신건강의학과의원,의원,서울특별시 광진구 자양로 95 (자양동),
구자섭정신건강의학과의원,의원,대구광역시 달서구 조암로 1 (월성동),
구정신건강의학과의원,의원,대전광역시 서구 계룡로 599 MG한밭빌딩 4층 403호 (탄방동),
국군강릉병원,국립,강원도 강릉시 주문진읍 동해대로 4371-34,
국군강릉병원,병원,강원도 강릉시 주문진읍 동해대로 4371-34 4371,
국군고양병원,국립,경기도 고양시 덕양구 혜음로 215,
국군고양병원,병원,경기도 고양시 덕양구 혜음로 215 (벽제동),
국군구리병원,병원,"경기도 구리시 인창2로 177 (인창동, 국군구리병원)",
국군대구병원,국립,경상북도 경산시 하양읍 대경로 425-41,
국군대구병원,병원,경상북도 경산시 하양읍 대경로 425-41 425,
국군대전병원,국립,대전광역시 유성구 자운로 90,
국군대전병원,병원,대전광역시 유성구 자운로 90 90,
국군부산병원,병원,부산광역시 해운대구 세실로 186 (좌동),
국군부산병원,국립,부산광역시 해운대구 세실로 186번길,
국군수도병원,국립,경기도 성남시 분당구 새마을로 177번길 81,
국군수도병원,종합병원,경기도 성남시 분당구 새마을로177번길 81 (율동),
국군양주병원,국립,경기도 양주시 은현면 화합로 1133,
국군양주병원,병원,경기도 양주시 은현면 화합로 1133 (),
국군일동병원,국립,경기도 포천시 화현면 화동로 564,
국군춘천병원,국립,강원도 춘천시 방고개길 57,
국군춘천병원,병원,강원도 춘천시 방고개길 57 (신동),
국군포천병원,병원,경기도 포천시 화현면 화동로 564 564,
국군함평병원,국립,전라남도 함평군 해보면 신해로 1027,
국군함평병원,병원,전라남도 함평군 해보면 신해로 1027 (),
국군홍천병원,국립,강원도 홍천군 두촌면 아홉사리로 43,
국군홍천병원,병원,강원도 홍천군 두촌면 아홉사리로 53 53,
국립공주병원,국립,충청남도 공주시 고분티로 623-21,
국립공주병원,광역정신건강복지센터,충청남도 홍성군 홍북면 충청남도대로 21,www.chmhc.or.kr
국립공주병원,기초정신건강복지센터,충청남도 공주시 봉황로 123 1층,www.gjcmhc.com
국립교통재활병원,국립,경기도 양평군 양평읍 중앙로 260,
국립교통재활병원,병원,경기도 양평군 양평읍 중앙로 260 (),
국립나주병원,국립,전라남도 나주시 산포면 세남로 1328-31,
국립나주병원,기초정신건강복지센터,"광주광역시 광산구 상무대로 239-1, 3층",www.gsgmc.or.kr
국립나주병원,기초정신건강복지센터,"광주광역시 남구 봉선로 1, 5층",www.adolesunrise.net
국립나주병원,광역정신건강복지센터,전라남도 나주시 산포면 세남로 1328-31,www.061mind.or.kr
국립나주병원,기초정신건강복지센터,전라남도 곡성군 곡성읍 곡성로,www.gsgmind.or.kr
국립나주병원,기초정신건강복지센터,전라남도 나주시 건재로 211 1층,www.najumind.or.kr
국립나주병원,기초정신건강복지센터,전라남도 장흥군 장흥읍 동교1길 13,
국립부곡병원,국립,경상남도 창녕군 부곡면 부곡로 145,
국립부곡병원,병원,경상남도 창녕군 부곡면 부곡로 145 (),
국립암센터,국립,경기도 고양시 일산동구 일산로 323번지,
