기관명,기관구분,주소,홈페이지,latitude,longitude,전화번호
강혜영정신건강의학과의원,의원,"경기도 용인시 기흥구 동백중앙로 265 (중동, 더엠빌딩 304호 일부)",,37.2763932,127.1526427,031-286-7705
강화군보건소,보건소,인천광역시 강화군 강화읍 충렬사로 26-1 ,,37.7380912,126.4844052,032-937-4554
강화정신요양원,정신요양시설,인천광역시 강화군 선원면 고식이길 20번길 19-3,www.kanghwa.or.kr,37.7296693,126.4929246,032-932-2948
같은마음정신건강의학과의원,의원,서울특별시 강북구 도봉로 324 글로리타워 (번동),,37.6367756,127.024897,02-2677-7582
개운정신건강의학과의원,의원,"서울특별시 서초구 동작대로 114 5층 (방배동, 유문빌딩)",,37.4867473,126.9826666,02-534-5568
개정정신건강의학과의원,의원,전라북도 군산시 번영로 312 (사정동),,35.9594387,126.7420931,063-451-8400
거제시 정신건강복지센터,기초정신건강복지센터,경상남도 거제시 수양로 506,www.geoje.go.kr,34.89194519999999,128.6367476,전화번호 없음
거제시보건소,보건소,경상남도 거제시 수양로 506,,34.89194519999999,128.6367476,055-633-9765
거제정신건강의학과의원,의원,경상남도 거제시 고현로 88 202호 (고현동),,34.8861292,128.6225322,051-711-1020
거창군 정신건강복지센터,기초정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,www.geochang.go.kr/health,35.68093560000001,127.8986258,전화번호 없음
거창군보건소,보건소,경상남도 거창군 거창읍 거함대로 3079 ,,35.68093560000001,127.8986258,055-940-8664
건국대학교 충주병원,기초정신건강복지센터,충청북도 충주시 국원대로78 2층 ,www.mhc.cj100.net,36.9784501,127.9285265,043-852-2501
건국대학교 충주병원,종합병원,충청북도 충주시 국원대로 82 (교현동),,36.9936662,127.9296934,043-852-2501
건국대학교병원,상급종합병원,서울특별시 광진구 능동로 120-1 (화양동),https://www.kuh.ac.kr/main.do,37.5449346,127.0713277,02-463-7576
건대하늘정신건강의학과의원,의원,서울특별시 광진구 아차산로 213 웅진빌딩 4층 (화양동),,37.5413173,127.0672393,02-463-1331
건양대학교병원,기초정신건강복지센터,대전광역시 서구 만년로 74 서구보건소 6층,www.emind.or.kr,36.3670487,127.3810749,041-837-1200
검단탑병원,종합병원,인천광역시 서구 청마로19번길 5- (당하동),,37.5925198,126.6711061,032-590-0114
경기다사모,정신재활시설,경기도 수원시 팔달구 매산로89,www.kgdasamo.com,37.2705312,127.0106644,031-256-2258
경기도 기초정신건강복지센터,기초정신건강복지센터,경기도 광주시 파발로 194번지,www.gjcity.go.kr,37.416444,127.2503366,
경기도립정신병원,공립,경기도 용인시 기흥구 중부대로 940,,37.2500446,127.1563536,031-274-9926
경기도의료원 수원병원,종합병원,경기도 수원시 장안구 수성로245번길 69 (정자동),,37.2919882,126.9964018,031-888-0114
경기도의료원 의정부병원,공립,경기도 의정부시 흥선로 142,,37.7411208,127.0424879,031-828-5444
경기도의료원 의정부병원,기초정신건강복지센터,경기도 의정부시 범골로 131 의정부시보건소 3층,www.umind.or.kr,37.7361517,127.0395681,031-828-5444
경기도의료원 의정부병원,중독관리통합지원센터,"경기도 의정부시 의정로 52번길 18, 삼보빌딩 3층",www.uamc.co.kr,37.7372678,127.0360535,031-828-5444
경기도의료원의정부병원,종합병원,경기도 의정부시 흥선로 142 (의정부동),,37.7411208,127.0424879,031-828-5444
경기도자살예방센터,자살예방센터,경기도 수원시 장안구 수성로 245번길 69 (정자동) 경기도의료원 2층,www.mindsave.org,37.2919882,126.9964018,031-418-0123
경기도청 건강증진과,보건소,경기도 수원시 팔달구 효원로 1 (매산로3가) ,,37.2748067,127.0096397,전화번호 없음
경기정신과의원,의원,경기도 수원시 장안구 팔달로 211 (영화동),,37.2864961,127.0088806,031-666-9620
경남도청 보건행정과,보건소,경상남도 창원시 의창구 중앙대로 300 (사림동) ,,35.237101,128.6912625,전화번호 없음
경농의료재단 양산병원,기초정신건강복지센터,"경상남도 양산시 중앙로 7-32, 양산시보건복지센터 4층 양산시정신건강복지센터",www.ys.yesbni.com,35.332182,129.0381071,055-389-1234
경대마음정신건강의학과의원,의원,대구광역시 남구 월배로 474 2층 (대명동),,35.8353178,128.5563513,053-621-6305
경대연합정신건강의학과의원,의원,"대구광역시 남구 월배로 468 2층 (대명동, 한영유니죤빌딩)",,35.8346386,128.5559905,053-621-0077
경대제이정신건강의학과의원,의원,"대구광역시 달서구 월배로 219 701호 (상인동, CENTRO TOWER)",,35.8191009,128.53719,053-633-6680
경북대학교 간호과학연구소,기초정신건강복지센터,경상북도 구미시 선산대로 111,www.gumimind.com,36.1399663,128.3459951,전화번호 없음
경북대학교 간호대학,기초정신건강복지센터,경상북도 영천시 조양공원길 21,www.영천시정신건강복지센터.kr,35.9666467,128.9323922,053-420-4943
경북대학교병원,기초정신건강복지센터,"대구광역시 중구 태평로 45, 중구보건소 3층",www.중구정신건강복지센터.kr,35.8778651,128.5832424,054-559-2200
경북대학교병원,국립,대구광역시 중구 동덕로 130,,35.8663092,128.6047424,054-559-2200
경북대학교병원,상급종합병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",,35.8664376,128.6044603,054-559-2200
경북도청 보건정책과,보건소,경상북도 안동시 풍천면 도청대로 455 ,,36.5753879,128.5054506,전화번호 없음
경산복지재단,기초정신건강복지센터,경기도 화성시 향남로 470 화성종합경기타운 실내체육관 내 1층,www.hsmind.or.kr,37.1204501,126.9153462,031-376-5692
경산복지재단,중독관리통합지원센터,경기도 화성시 정남면 서봉로 998 정남면보건지소 내 1층,www.hsalcohol.kr,37.1601163,126.9714131,031-376-5692
경산세명병원,기초정신건강복지센터,경상북도 경산시 남매로 158,www.gsmind.or.kr,35.8247742,128.7430657,053-812-2822
경산시보건소,보건소,경상북도 경산시 남매로 158 ,,35.8247742,128.7430657,053-852-4229
경산정신과의원,의원,경상북도 경산시 중앙로 69 (중방동),,35.822981,128.7344952,053-815-9933
경상남도마산의료원,종합병원,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),,35.1984721,128.5680406,055-223-9893
경상대학교병원,국립,경상남도 진주시 강남로 79,,35.1771423,128.0953898,055-750-8000
경상대학교병원,상급종합병원,경상남도 진주시 강남로 79 (칠암동),,35.1828995,128.0933826,055-750-8000
경상대학교병원,중독관리통합지원센터,경상남도 진주시 진주대로 816번길 20 2층,www.jinjuacc.org,35.1740884,128.095901,055-750-8000
경상북도 안동의료원,공립,경상북도 안동시 태사2길 55,,36.567983,128.7322407,054-841-8536
경상북도 포항의료원,공립,경상북도 포항시 북구 용흥로 3,,36.0316025,129.3578318,054-247-0551
경상북도김천의료원,종합병원,경상북도 김천시 모암길 24 (모암동),,36.1224526,128.1266775,054-429-8288
경상북도안동의료원,종합병원,경상북도 안동시 태사2길 55 (북문동),,36.567983,128.7322407,054-841-8536
경상북도포항의료원,종합병원,경상북도 포항시 북구 용흥로 36 (용흥동),,36.0350887,129.3546948,054-247-0551
경성대학교 산학협력단,기초정신건강복지센터,부산광역시 강서구 공항로 811번길 10 강서브라이트센터 내 보건소 3층,www.brightmaum.or.kr,35.1804359,128.9571993,051-663-5056
경주시보건소,보건소,경상북도 경주시 양정로 300 ,,35.85942980000001,129.2245801,054-760-7684
경주정신건강상담센터,정신재활시설,"경상북도 경주시 북성로 124, 2층",www.sunarang.com,35.847017,129.2152604,054-741-8805
경주정신건강의학과의원,의원,경상북도 경주시 봉황로51번길 27 5층 (성건동),,35.8443391,129.2072957,054-624-0700
경찰병원,종합병원,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),,37.4960568,127.1234223,02-404-0683
경찰병원,국립,서울특별시 송파구 송이로 123,,37.4962469,127.1234827,02-404-0683
경희궁삼성정신건강의학과의원,의원,"서울특별시 종로구 송월길 99 2207호 (홍파동, 경희궁자이 2단지)",,37.5704927,126.963397,02-737-5577
경희대학교병원,상급종합병원,서울특별시 동대문구 경희대로 23 (회기동),,37.5967122,127.0513948,02-871-1677
경희사회복귀시설,정신재활시설,"광주광역시 북구 연양로 105번길 14, 스카이빌 301, 303, 304호",cafe.daum.net/gkdisdus,35.2075606,126.8793941,전화번호 없음
경희의료원,기초정신건강복지센터,서울특별시 동대문구 홍릉로81 2층,ddmmind.net,37.5874604,127.0427568,02-957-0992
계룡시 정신건강복지센터,기초정신건강복지센터,충청남도 계룡시 장안로 54(금암동 10-5),,36.2731224,127.2501844,전화번호 없음
계룡시보건소,보건소,충청남도 계룡시 장안로 54 ,,36.2731224,127.2501844,042-840-3591
계명대학교동산병원,상급종합병원,대구광역시 달서구 달구벌대로 1035 (신당동),,35.8552487,128.4893299,031-442-5111
계양구보건소,보건소,인천광역시 계양구 계산새로 88,,37.5371238,126.7377717,032-430-7801
계요병원,기초정신건강복지센터,경기도 의왕시 오봉로34 의왕시보건소별관,www.uwcmh.com,37.3437286,126.9720042,031-427-0451
고담의료재단 마더스병원,광역정신건강복지센터,"울산광역시 남구 화합로 105, 로하스빌딩 2층",www.usmind.or.kr,35.5340893,129.3406152,270-7000
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 남구 화합로 105 (달동, 로하스빌딩 5층)",www.usaddiction.or.kr,35.5340893,129.3406152,270-7000
고담의료재단 마더스병원,중독관리통합지원센터,"울산광역시 중구 학성로 84-1, 3층",,35.5549481,129.3202334,270-7000
고려대학교 산학협력단,기초정신건강복지센터,경기도 안산시 단원구 화랑로 387,www.ansanmind.or.kr,37.3221268,126.8315668,02-3290-5851
고려대학교 산학협력단,중독관리통합지원센터,"경기도 안산시 단원구 화랑로 387, 2층",www.ansanacc.or.kr,37.3221268,126.8315668,02-3290-5851
고려대학교의과대학부속구로병원,상급종합병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),,37.4922173,126.8849478,02-2626-1114
고려대학교의과대학부속안산병원,상급종합병원,경기도 안산시 단원구 적금로 123 (고잔동),,37.319305,126.8252025,031-1577-7516
고려신경정신과의원,의원,대전광역시 중구 대종로 504 2층 (은행동),,36.3293798,127.425562,02-859-4469
고려정신건강의학과의원,의원,"경기도 광명시 철산로 12 3층 304호 (철산동, 로데오빌딩)",,37.47555200000001,126.8675669,02-977-7575
고려제일정신과의원,의원,서울특별시 구로구 구로동로 240 세일빌딩 2층 (구로동),,37.5000236,126.8826805,02-859-4469
고려힐링정신건강의학과의원,의원,경기도 화성시 봉담읍 동화길 85 307-308호,,37.2169375,126.95833,031-302-8998
고려힐링정신건강의학과의원,의원,"서울특별시 서대문구 신촌로35길 10 212호 (북아현동, e편한세상신촌 4단지)",,37.558196,126.9558424,031-302-8998
고령군 정신건강복지센터,기초정신건강복지센터,경상북도 고령군 대가야읍 왕릉로 56-8,https://www.goryeong.go.kr/health,35.7247619,128.264266,전화번호 없음
고령군보건소,보건소,경상북도 고령군 대가야읍 왕릉로 56-5 ,,35.725038,128.2648426,054-955-5495
고석만정신건강의학과의원,의원,"강원도 원주시 능라동길 59 (무실동, 정한프라자 509호)",,37.3344233,127.9308294,033-744-0223
고성군 정신건강복지센터,기초정신건강복지센터,경상남도 고성군 남포로79번길 103-3,,34.9695911,128.314297,전화번호 없음
고성군보건소,보건소,강원도 고성군 간성읍 수성로 30 ,,38.3775134,128.4720849,033-681-3373
고성군보건소,보건소,경상남도 고성군 고성읍 남포로79번길 103-3 ,,34.9695911,128.314297,033-681-3373
고성군정신건강복지센터,기초정신건강복지센터,강원 고성군 간성읍 수성로 30 보건소 2층,,38.3775134,128.4720849,전화번호 없음
고성성심병원,병원,경상남도 고성군 회화면 남해안대로 3963-21 (회화면),,35.0809874,128.3724927,055-673-8780
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,www.gsmental.or.kr,35.0223624,128.3531327,055-672-6659
고신경정신과의원,의원,제주특별자치도 제주시 서광로 203 (삼도일동),,33.5001915,126.5181443,032-572-0572
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,www.yeongdomind.or.kr,35.0832776,129.0675007,051-990-5995
고신대학교복음병원,상급종합병원,부산광역시 서구 감천로 262 (암남동),,35.0815997,129.0131757,051-990-6644
고양시 덕양구보건소,보건소,경기도 고양시 덕양구 원당로 33번길 28,,37.657804,126.8310734,031-8075-4006
고양시 일산동구보건소,보건소,"경기도 고양시 일산동구 중앙로 1228 1, 2층",,37.6563993,126.7759151,031-8075-4117
고양시 일산서구보건소,보건소,경기도 고양시 일산서구 일중로 54 ,,37.684346,126.775852,031-8075-4160
고양정신병원,공립,경기도 고양시 덕양구 통일로 1102번길 46,,37.7114146,126.8544831,02-6951-2522
고양정신병원,병원,경기도 고양시 덕양구 통일로1102번길 46 (내유동),,37.7114146,126.8544831,02-6951-2522
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",blog.naver.com/h_people2006,36.32479259999999,127.3732534,070-4401-1004
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,www.gounnuri.net,37.437322,127.1395485,070-4401-1004
고운마음정신과의원,의원,"경기도 부천시 길주로 137 상록그린힐빌딩, 504호 일부 (상동)",,37.5060965,126.7576742,032-329-1151
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,www.idcm.or.kr,37.4830605,126.6176989,전화번호 없음
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,www.icdacc.or.kr,37.4830605,126.6176989,032-777-1182
고정선정신건강의학과의원,의원,"인천광역시 중구 참외전로 134 3,4층 (인현동)",,37.4744365,126.6318007,032-777-1182
고정신건강의학과의원,의원,인천광역시 서구 가정로 363 그린빌딩 2층 201호 (신현동),,37.5173899,126.6726735,572-0572
고정인정신건강의학과의원,의원,"서울특별시 강남구 테헤란로 313 211~212호 (역삼동, 성아하이츠 1차)",http://mindinmind.co.kr/?module=Html&action=SiteComp&sSubNo=5,37.5038117,127.0452472,02-569-8005
고창군보건소,보건소,전라북도 고창군 고창읍 전봉준로 90 ,,35.4436048,126.6832457,063-560-8782
고천석정신건강의학과의원,의원,광주광역시 북구 필문대로 103 2층 (풍향동),,35.1614957,126.9302674,062-266-9555
고효선정신건강의학과의원,의원,전라북도 익산시 선화로 65 2층 (모현동1가),,35.9489991,126.9424782,063-857-7575
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,,34.5924235,127.2686816,전화번호 없음
고흥군보건소,보건소,전라남도 고흥군 고흥읍 등암3길 5 ,,34.5924235,127.2686816,061-830-6666
곡성군보건의료원,보건소,전라남도 곡성군 곡성읍 곡성로 854 ,,35.2788469,127.2969831,061-362-4000
공감과성장김현철정신건강의학과의원,의원,"대구광역시 수성구 동대구로 300 401동 4층 405호 (범어동, 범어 롯데캐슬)",,35.8568835,128.6269303,전화번호 없음
공감더하기정신건강의학과의원,의원,대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),,36.3049198,127.3494303,042-542-7503
공감정신건강의학과의원,의원,"경상남도 진주시 순환로 527 7층 701호 (평거동, 좋은메디컬빌딩)",,35.1712058,128.0614286,031-236-1275
공감정신건강의학과의원,의원,서울특별시 송파구 송파대로 404-1 3층 (송파동),,37.5034723,127.1092355,031-236-1275
공감정신건강의학과의원,의원,부산광역시 중구 대청로 80 7층 (대청동3가),,35.1029963,129.0289188,031-236-1275
공감정신건강의학과의원,의원,충청북도 청주시 청원구 율봉로 141 6층 (율량동),,36.6683984,127.4846397,031-236-1275
공감정신건강의학과의원,의원,경상남도 김해시 능동로149번길 6 남일빌딩 301호 (부곡동),,35.202602,128.8076503,031-236-1275
공감정신과의원,의원,"인천광역시 부평구 부평대로 68 3,4층 (부평동, 동일빌딩)",,37.49745679999999,126.7228038,032-527-5070
